6_investors,Country/Town,"Deals Information, Level of Completeness",Disclosed ,Founded,Total  Disclosed Funding,DA Classification_African Company (Yes = 0; No = 1),Year,Month,Quarter,Half,Number of Investors,main_sector_encoded,funding_round_encoded,cat_Country
"Urban Us, Synergy Growth, Omvestments, Invested Development, Gary Scheft, Cheryl Heller",Kenya,0.9,1.0,2013.0,4200000.0,0.0,2014.0,7.0,3.0,2.0,6.0,8,1,10
Industrial Development Corporation,South Africa,0.9,1.0,2011.0,5050000.0,0.0,2014.0,8.0,3.0,2.0,1.0,1,6,23
Silicon Badia,Egypt,0.8,1.0,2012.0,23500000.0,0.0,2014.0,10.0,4.0,2.0,1.0,12,3,5
Undisclosed,Egypt,0.9,1.0,2014.0,2750000.0,0.0,2014.0,11.0,4.0,2.0,1.0,5,4,5
500 Startups,Kenya,0.9,1.0,2011.0,105000.0,0.0,2014.0,11.0,4.0,2.0,1.0,1,1,10
500 Startups,Egypt,0.9,1.0,2013.0,100000.0,0.0,2014.0,11.0,4.0,2.0,1.0,4,1,5
"Summit Partners, Rocket Internet, Orange, Millicom Systems, MTN Group, Goldman Sachs, CDC Group, AXA Group",Nigeria,0.9,1.0,2012.0,885400000.0,0.0,2014.0,11.0,4.0,2.0,8.0,5,6,19
Cairo Angels,Egypt,0.9,0.0,2012.0,510000.0,0.0,2015.0,1.0,1.0,1.0,1.0,5,1,5
DOB Equity,Kenya,0.9,1.0,2012.0,22000000.0,0.0,2015.0,1.0,1.0,1.0,1.0,5,1,10
Daud Nur,South Africa,0.9,1.0,2015.0,700000.0,0.0,2015.0,1.0,1.0,1.0,1.0,10,1,23
KFW,Kenya,0.9,1.0,1982.0,50000000.0,0.0,2015.0,1.0,1.0,1.0,1.0,1,5,10
"SOSV, Carma Axlr8r",Rwanda,0.9,0.0,2015.0,131000.0,0.0,2015.0,1.0,1.0,1.0,2.0,10,1,20
Undisclosed ,Rwanda,0.9,1.0,2012.0,8100000.0,0.0,2015.0,1.0,1.0,1.0,1.0,13,3,20
Undisclosed,Uganda,0.9,1.0,2012.0,11080000.0,0.0,2015.0,1.0,1.0,1.0,1.0,1,1,26
"Stephens Investment Management, Pantera Capital, Future Perfect Ventures, Digital Currency Group, Colle Capital Partners, Blockchain Capital",Kenya,0.9,1.0,2013.0,14970000.0,0.0,2015.0,2.0,1.0,1.0,6.0,1,1,10
"Savannah Fund, Interswitch, CRE Venture Capital",Nigeria,0.9,1.0,2013.0,3315000.0,0.0,2015.0,2.0,1.0,1.0,3.0,10,1,19
"Rocket Internet, Kinnevik AB",Nigeria,0.9,1.0,2011.0,5000000.0,0.0,2015.0,2.0,1.0,1.0,2.0,5,6,19
"Tencent Holdings, Naspers",South Africa,0.9,0.0,2014.0,0.0,0.0,2015.0,2.0,1.0,1.0,2.0,6,9,23
Lateral Capital,Nigeria,0.9,0.0,2014.0,8000000.0,0.0,2015.0,3.0,1.0,1.0,1.0,4,1,19
Naspers Ventures,Nigeria,0.9,1.0,2012.0,79500000.0,0.0,2015.0,4.0,2.0,1.0,1.0,5,8,19
Seek,South Africa,0.9,1.0,2012.0,30000000.0,0.0,2015.0,4.0,2.0,1.0,1.0,5,10,23
Co-Creation Hub Nigeria,Nigeria,0.9,1.0,2015.0,175000.0,0.0,2015.0,5.0,2.0,1.0,1.0,10,1,19
"Vinny Lingham, Newtown Partners, Africa Angels Network (AAN), Identity Development Fund (IDF)",South Africa,0.9,0.0,2014.0,2700000.0,0.0,2015.0,5.0,2.0,1.0,4.0,8,1,23
Undisclosed,Cameroon,0.9,1.0,2013.0,555000.0,0.0,2015.0,5.0,2.0,1.0,1.0,4,1,4
"GreenHouse Capital, CRE Venture Capital",Nigeria,0.9,1.0,2014.0,425000.0,0.0,2015.0,5.0,2.0,1.0,2.0,5,1,19
Undisclosed,Egypt,0.9,1.0,2014.0,2750000.0,0.0,2015.0,6.0,2.0,1.0,1.0,5,1,5
Yago Arbeloa,Kenya,0.9,1.0,2014.0,10500000.0,0.0,2015.0,6.0,2.0,1.0,1.0,10,11,10
Net1 UEPS Technologies,Nigeria,0.9,1.0,2012.0,15800000.0,0.0,2015.0,6.0,2.0,1.0,1.0,1,5,19
"Daniel van Tonder, Willem van Zyl",South Africa,0.9,1.0,2015.0,6397000.0,0.0,2015.0,8.0,3.0,2.0,2.0,1,12,23
Y Combinator,France,0.9,1.0,2014.0,120000.0,1.0,2015.0,8.0,3.0,2.0,1.0,4,1,7
"Vostok New Ventures, Piton Capital, Endure Capital, 500 Startups",Egypt,0.9,1.0,2009.0,7850000.0,0.0,2015.0,8.0,3.0,2.0,4.0,2,3,5
"Techstars New York City Accelerator, Techstars",Nigeria,0.9,0.0,2015.0,8100000.0,0.0,2015.0,9.0,3.0,2.0,2.0,10,1,19
Infotech Ventures,South Africa,0.9,1.0,2015.0,5770000.0,0.0,2015.0,9.0,3.0,2.0,1.0,10,1,23
Venture Garden Group,Nigeria,0.9,1.0,2016.0,330000.0,0.0,2015.0,9.0,3.0,2.0,1.0,2,1,19
Cross Culture Ventures,Kenya,0.9,0.0,2012.0,3500000.0,0.0,2015.0,9.0,3.0,2.0,1.0,6,1,10
"Right Side Capital Management, Amadeo Brenninkmeijer",Nigeria,0.9,1.0,2015.0,8100000.0,0.0,2015.0,9.0,3.0,2.0,2.0,10,12,19
"Omidyar Network, Goodwell Investments, Capricorn Investment Group, Adlevo Capital",Nigeria,0.9,1.0,2009.0,32700000.0,0.0,2015.0,10.0,4.0,2.0,4.0,1,6,19
"ACE & Company, The Family, Cross Culture Ventures, Orange Digital Ventures",France,0.9,0.0,2014.0,120000.0,1.0,2015.0,10.0,4.0,2.0,4.0,4,13,7
"Accion Venture Lab, Bamboo Finance, Javelin Venture Partners",Kenya,0.9,1.0,2011.0,6504900.0,0.0,2015.0,10.0,4.0,2.0,3.0,1,6,10
Undisclosed,South Africa,0.9,0.0,2011.0,5050000.0,0.0,2015.0,10.0,4.0,2.0,1.0,1,8,23
"Blue Haven Initiative, Lundin Foundation",Kenya,0.9,0.0,2012.0,0.0,0.0,2015.0,10.0,4.0,2.0,2.0,1,3,10
Pfizer Foundation,Kenya,0.9,1.0,2016.0,2975000.0,0.0,2015.0,11.0,4.0,2.0,1.0,1,2,10
Savannah Fund,Kenya,0.9,1.0,2014.0,10500000.0,0.0,2015.0,11.0,4.0,2.0,1.0,10,1,10
"North Base Media, Lateral Capital, J.E. Berman Associates, CRE Venture Capital",Nigeria,0.9,1.0,2014.0,8000000.0,0.0,2015.0,11.0,4.0,2.0,4.0,4,1,19
Undisclosed,Nigeria,0.9,1.0,2014.0,2000000.0,0.0,2015.0,11.0,4.0,2.0,1.0,5,1,19
Q4 Investments (Pty) Ltd,South Africa,0.9,1.0,2015.0,6397000.0,0.0,2015.0,11.0,4.0,2.0,1.0,1,1,23
Pitch@Palace,Ghana,0.9,0.0,2012.0,742000.0,0.0,2015.0,12.0,4.0,2.0,1.0,14,2,8
Undisclosed,South Africa,0.9,1.0,2015.0,400000.0,0.0,2015.0,12.0,4.0,2.0,1.0,5,1,23
"Garage Technology Ventures, Patrick Pichette, Garage Capital",Kenya,0.9,1.0,2014.0,1080000.0,0.0,2015.0,12.0,4.0,2.0,3.0,10,1,10
"Omar Salah, Nader El-Batrawi",Egypt,0.9,1.0,2016.0,1550000.0,0.0,2016.0,1.0,1.0,1.0,2.0,10,1,5
"Yakout Sallam, Mahmoud Barakat",Egypt,0.9,1.0,2017.0,103900.0,0.0,2016.0,1.0,1.0,1.0,2.0,5,1,5
"Jean and Steve Case, Jim Sorenson, TED, MKS Alternative Investments, Synergy Energy ",Kenya,0.9,1.0,2013.0,4200000.0,0.0,2016.0,1.0,1.0,1.0,5.0,8,13,10
"XSeed Capital, Nyca Partners, GreenHouse Capital, First Ally Capital, FinTech Collective",Nigeria,0.9,1.0,2014.0,17138000.0,0.0,2016.0,1.0,1.0,1.0,5.0,1,1,19
Y Combinator,Ghana,0.9,0.0,2016.0,1220000.0,0.0,2016.0,1.0,1.0,1.0,1.0,4,1,8
"Vumela Fund,  Vinny Lingham, Llew Claasen’s Newtown Partners",South Africa,0.9,1.0,2014.0,2700000.0,0.0,2016.0,1.0,1.0,1.0,3.0,8,1,23
"Kinnevik AB, Canal+",Nigeria,0.9,1.0,2010.0,30000000.0,0.0,2016.0,1.0,1.0,1.0,2.0,4,14,19
"Golden Palm Investments Holding Co., Olive Tree Ventures, Social Capital ",Ghana,0.9,1.0,2014.0,25100000.0,0.0,2016.0,1.0,1.0,1.0,3.0,12,1,8
"Amadeus Capital Partners, MTN Group",South Africa,0.9,1.0,1999.0,40000000.0,0.0,2016.0,2.0,1.0,1.0,2.0,15,3,23
Amadeus Capital Partners,South Africa,0.9,1.0,2013.0,2000000.0,0.0,2016.0,2.0,1.0,1.0,1.0,1,1,23
1776 Ventures,Kenya,0.9,1.0,2013.0,40350000.0,0.0,2016.0,2.0,1.0,1.0,1.0,5,11,10
BitFury Capital,Kenya,0.9,1.0,2013.0,14970000.0,0.0,2016.0,2.0,1.0,1.0,1.0,1,13,10
"Middle East venture Partners, vodafone Ventures, Raed VC",Egypt,0.9,1.0,2012.0,2625000.0,0.0,2016.0,3.0,1.0,1.0,3.0,8,1,5
"Rocket Internet, MTN Group, Orange, Goldman Sachs, CDC Group, AXA Group",Nigeria,0.9,1.0,2012.0,885400000.0,0.0,2016.0,3.0,1.0,1.0,6.0,5,8,19
Seedstars,South Africa,0.9,1.0,2015.0,500000.0,0.0,2016.0,3.0,1.0,1.0,1.0,2,1,23
EchoVC Partners,Kenya,0.9,1.0,2012.0,25000.0,0.0,2016.0,3.0,1.0,1.0,1.0,16,1,10
EchoVC Partners,Nigeria,0.9,1.0,2015.0,1000000.0,0.0,2016.0,3.0,1.0,1.0,1.0,4,1,19
Undisclosed,Malawi,0.9,1.0,2015.0,57000.0,0.0,2016.0,3.0,1.0,1.0,1.0,4,4,13
Y Combinator,Egypt,0.9,1.0,2013.0,2120000.0,0.0,2016.0,3.0,1.0,1.0,1.0,9,1,5
Undisclosed,Nigeria,0.9,1.0,2015.0,8100000.0,0.0,2016.0,3.0,1.0,1.0,1.0,10,1,19
Global Inovation Fund (GIF),Uganda,0.9,1.0,2015.0,1327000.0,0.0,2016.0,4.0,2.0,1.0,1.0,10,11,26
Digital Currency Group,South Africa,0.9,1.0,2014.0,685000.0,0.0,2016.0,4.0,2.0,1.0,1.0,17,13,23
Undisclosed,South Africa,0.9,1.0,2015.0,700000.0,0.0,2016.0,4.0,2.0,1.0,1.0,10,1,23
Undisclosed,South Africa,0.9,1.0,2008.0,55800000.0,0.0,2016.0,4.0,2.0,1.0,1.0,3,3,23
Y Combinator,Ghana,0.9,1.0,2016.0,1220000.0,0.0,2016.0,4.0,2.0,1.0,1.0,4,1,8
LeapFrog Investments,South Africa,0.9,0.0,2014.0,91700000.0,0.0,2016.0,5.0,2.0,1.0,1.0,1,9,23
Undisclosed,South Africa,0.9,1.0,2014.0,2500000.0,0.0,2016.0,5.0,2.0,1.0,1.0,6,13,23
Kevin Gaskell,South Africa,0.9,1.0,2016.0,584000.0,0.0,2016.0,5.0,2.0,1.0,1.0,4,1,23
Undisclosed,Tunisia,0.9,0.0,2014.0,4500000.0,0.0,2016.0,5.0,2.0,1.0,1.0,1,1,25
Undisclosed,Rwanda,0.9,1.0,2014.0,905400.0,0.0,2016.0,5.0,2.0,1.0,1.0,11,12,20
Convergence Partners,South Africa,0.9,1.0,2012.0,4000000.0,0.0,2016.0,6.0,2.0,1.0,1.0,6,1,23
Faden Media,Egypt,0.9,1.0,2014.0,2750000.0,0.0,2016.0,6.0,2.0,1.0,1.0,5,1,5
Factor E Ventures,Rwanda,0.9,1.0,2014.0,905400.0,0.0,2016.0,6.0,2.0,1.0,1.0,11,12,20
"Accel, Amr Awadallah, Jim Payne, Sharif El-Badawi",Egypt,0.9,1.0,2013.0,2120000.0,0.0,2016.0,6.0,2.0,1.0,4.0,9,1,5
SpeedUPAfrica,Kenya,0.9,0.0,2015.0,4500000.0,0.0,2016.0,6.0,2.0,1.0,1.0,10,2,10
SpeedUp Africa,Ghana,0.9,0.0,2015.0,464000.0,0.0,2016.0,6.0,2.0,1.0,1.0,3,2,8
Undisclosed,Nigeria,0.9,1.0,2014.0,1200000.0,0.0,2016.0,6.0,2.0,1.0,1.0,1,1,19
SpeedUPAfrica,Rwanda,0.9,0.0,2015.0,131000.0,0.0,2016.0,6.0,2.0,1.0,1.0,10,2,20
"Endure Capital, A15",Egypt,0.9,1.0,2015.0,950000.0,0.0,2016.0,7.0,3.0,2.0,2.0,12,1,5
HAVAIC,South Africa,0.9,0.0,2007.0,0.0,0.0,2016.0,7.0,3.0,2.0,1.0,6,1,23
StartupBootcamp,South Africa,0.9,1.0,2014.0,170000.0,0.0,2016.0,7.0,3.0,2.0,1.0,1,1,23
Kamelizer,Egypt,0.9,0.0,2014.0,500000.0,0.0,2016.0,7.0,3.0,2.0,1.0,3,4,5
Undisclosed,Kenya,0.9,1.0,2015.0,1724700.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,11,10
A15,Egypt,0.9,1.0,2015.0,450000.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,1,5
Undisclosed,South Africa,0.9,1.0,2016.0,177000.0,0.0,2016.0,8.0,3.0,2.0,1.0,10,1,23
Safaricom,Kenya,0.9,0.0,2011.0,0.0,0.0,2016.0,8.0,3.0,2.0,1.0,3,9,10
"International Finance Corporation (IFC), 4Di, Omidyar Network, Quona Capital,  Patrick Pichette",Zambia,0.9,1.0,2009.0,19500000.0,0.0,2016.0,8.0,3.0,2.0,5.0,1,6,29
"Spark, Hotels.ng",Nigeria,0.9,1.0,2015.0,45000.0,0.0,2016.0,8.0,3.0,2.0,2.0,8,1,19
"Zillionize Angel, Y Combinator",Ghana,0.9,0.0,2016.0,1220000.0,0.0,2016.0,8.0,3.0,2.0,2.0,4,1,8
"Susan Kimberlin, Steven Tamm, Safaricom, Cross Culture Ventures, Alpha Angels",Kenya,0.9,0.0,2012.0,3500000.0,0.0,2016.0,8.0,3.0,2.0,5.0,6,1,10
TIA,South Africa,0.9,1.0,2014.0,685000.0,0.0,2016.0,8.0,3.0,2.0,1.0,17,1,23
DOB Equity,Kenya,0.9,0.0,2013.0,40350000.0,0.0,2016.0,8.0,3.0,2.0,1.0,5,9,10
Undisclosed,Egypt,0.9,1.0,2016.0,1550000.0,0.0,2016.0,8.0,3.0,2.0,1.0,10,4,5
"Goodwell Investments,  Omidyar Network, Horizen Ventures, Marcos Vercelli-Forster",South Africa,0.9,1.0,2015.0,5770000.0,0.0,2016.0,8.0,3.0,2.0,4.0,10,1,23
500 Startups,Nigeria,0.9,1.0,2014.0,425000.0,0.0,2016.0,9.0,3.0,2.0,1.0,5,1,19
Undisclosed,Kenya,0.9,1.0,2016.0,150000.0,0.0,2016.0,9.0,3.0,2.0,1.0,12,1,10
Undisclosed,Egypt,0.9,1.0,2016.0,415000.0,0.0,2016.0,9.0,3.0,2.0,1.0,1,1,5
Frontier Digital Ventures,Nigeria,0.9,1.0,2013.0,1440000.0,0.0,2016.0,9.0,3.0,2.0,1.0,7,3,19
 BoostVC,South Africa,0.9,1.0,2015.0,3920000.0,0.0,2016.0,9.0,3.0,2.0,1.0,1,12,23
"OEL Venture Investments, Factor E Ventures, Accion Venture Lab",Kenya,0.9,0.0,2015.0,1600000.0,0.0,2016.0,9.0,3.0,2.0,3.0,14,1,10
The Overseas Private Investment Corporation (OPIC),Kenya,0.9,1.0,2013.0,4100000.0,0.0,2016.0,9.0,3.0,2.0,1.0,6,5,10
"Seedstars, Techstars, Zahra Nasser, George G, The Bill & Melinda Gates Foundation, Financial Sector Deepening Trust",Tanzania,0.9,1.0,2016.0,1250000.0,0.0,2016.0,9.0,3.0,2.0,6.0,1,1,24
"KOSMOS Energy, MEST Africa",Ghana,0.9,1.0,2016.0,50000.0,0.0,2016.0,10.0,4.0,2.0,2.0,14,1,8
"Newid capital, Accion Venture Lab, HALLMANN HOLDING International Investment GmbH",South Africa,0.9,0.0,2014.0,6500000.0,0.0,2016.0,10.0,4.0,2.0,3.0,1,1,23
Undisclosed,Rwanda,0.9,1.0,2015.0,131000.0,0.0,2016.0,10.0,4.0,2.0,1.0,10,1,20
"Bill Paladino, Jacques Ludik, Maude Gliwa",South Africa,0.9,1.0,2015.0,300000.0,0.0,2016.0,10.0,4.0,2.0,3.0,3,4,23
Undisclosed,Kenya,0.9,1.0,2015.0,70000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,15,10
Undisclosed,Ethiopia,0.9,1.0,2015.0,100000.0,0.0,2016.0,11.0,4.0,2.0,1.0,6,16,6
"Wayra, LocalGlobe, ADV ",Kenya,0.9,1.0,2015.0,6600000.0,0.0,2016.0,11.0,4.0,2.0,3.0,14,1,10
Clifftop Colony Capital Partners,South Africa,0.9,1.0,2008.0,454600.0,0.0,2016.0,11.0,4.0,2.0,1.0,4,1,23
500 Startups,Nigeria,0.9,1.0,2016.0,330000.0,0.0,2016.0,11.0,4.0,2.0,1.0,2,1,19
500 Startups,Nigeria,0.9,1.0,2015.0,270000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,1,19
Kevin Gaskell,South Africa,0.9,1.0,2016.0,584000.0,0.0,2016.0,11.0,4.0,2.0,1.0,4,13,23
Darshan Chandaria,Kenya,0.9,1.0,2012.0,250000.0,0.0,2016.0,11.0,4.0,2.0,1.0,1,1,10
Undisclosed,South Africa,0.9,1.0,2015.0,6397000.0,0.0,2016.0,12.0,4.0,2.0,1.0,1,3,23
Futuregrowth Asset Management,South Africa,0.9,1.0,2008.0,21500000.0,0.0,2016.0,12.0,4.0,2.0,1.0,15,9,23
AUC Venture Lab,Egypt,0.9,0.0,2015.0,1000000.0,0.0,2016.0,12.0,4.0,2.0,1.0,5,2,5
Undisclosed,Cameroon,0.9,1.0,2017.0,3500.0,0.0,2016.0,12.0,4.0,2.0,1.0,1,1,4
"BECO Capital, Silicon Badia, TDF Capital, Vostok New Ventures",Egypt,0.9,1.0,2012.0,23500000.0,0.0,2016.0,12.0,4.0,2.0,4.0,12,6,5
Engineers Without Borders Canada,Ethiopia,0.9,0.0,2014.0,1000000.0,0.0,2017.0,1.0,1.0,1.0,1.0,14,1,6
Amazon Web Services,Egypt,0.9,1.0,2017.0,103900.0,0.0,2017.0,1.0,1.0,1.0,1.0,5,2,5
Sunray Ventures,Mauritius,0.9,0.0,2017.0,26560000.0,0.0,2017.0,2.0,1.0,1.0,1.0,18,1,15
Undisclosed,Angola,0.9,1.0,2015.0,520000.0,0.0,2017.0,2.0,1.0,1.0,1.0,5,1,1
"500 Startups, ACE & Company",Egypt,0.9,1.0,2010.0,1000000.0,0.0,2017.0,2.0,1.0,1.0,2.0,5,6,5
500 Startups,Nigeria,0.9,1.0,2013.0,162000.0,0.0,2017.0,2.0,1.0,1.0,1.0,4,1,19
Id4 ventures,Ivory Coast,0.9,1.0,2012.0,1069000.0,0.0,2017.0,2.0,1.0,1.0,1.0,5,4,9
Numu Capital,Egypt,0.9,0.0,2016.0,300000.0,0.0,2017.0,3.0,1.0,1.0,1.0,10,1,5
"Mbuyu Capital Partners, Maris Capital, International Finance Corporation (IFC), CDC Group",Kenya,0.9,1.0,2015.0,52000000.0,0.0,2017.0,3.0,1.0,1.0,4.0,7,9,10
Y Combinator,Morocco,0.9,1.0,2014.0,3120000.0,0.0,2017.0,3.0,1.0,1.0,1.0,5,1,16
Y Combinator,Nigeria,0.9,1.0,2015.0,270000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Y Combinator,Nigeria,0.9,1.0,2016.0,5120000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Ion Equity,Kenya,0.9,1.0,2015.0,8000000.0,0.0,2017.0,3.0,1.0,1.0,1.0,12,9,10
Savannah Fund,Nigeria,0.9,1.0,2016.0,8186000.0,0.0,2017.0,3.0,1.0,1.0,1.0,1,1,19
Western Technology Investment,Nigeria,0.9,1.0,2014.0,17138000.0,0.0,2017.0,4.0,2.0,1.0,1.0,1,5,19
CreditInfo,Kenya,0.9,1.0,2016.0,1100000.0,0.0,2017.0,4.0,2.0,1.0,1.0,1,1,10
Undisclosed,Nigeria,0.9,1.0,2016.0,191500.0,0.0,2017.0,4.0,2.0,1.0,1.0,3,2,19
Algebra Ventures,Egypt,0.9,1.0,2011.0,1500000.0,0.0,2017.0,4.0,2.0,1.0,1.0,5,3,5
Naspers,South Africa,0.9,1.0,2011.0,169000000.0,0.0,2017.0,4.0,2.0,1.0,1.0,5,17,23
Discover PreAccelerator,Zambia,0.9,0.0,2017.0,0.0,0.0,2017.0,4.0,2.0,1.0,1.0,6,2,29
